name,ontologyTermURI,code,codesystem,definition
Hausa,http://purl.obolibrary.org/obo/AfPO_0000125,AfPO:0000125,AfPO,"A Western African, Eastern African population with a population size of 90 millions"
Nuer,http://purl.obolibrary.org/obo/AfPO_0000126,AfPO:0000126,AfPO,The Nuer are a Nilotic Eastern population with a population size of 3 million.
Mijikenda,http://purl.obolibrary.org/obo/AfPO_0000127,AfPO:0000127,AfPO,A Bantu Eastern population with a population size of 2.488 Millions
Fang,http://purl.obolibrary.org/obo/AfPO_0000128,AfPO:0000128,AfPO,A Bantu Central population with a population size of 1 million
Mossi,http://purl.obolibrary.org/obo/AfPO_0000131,AfPO:0000131,AfPO,A Gurma population with a population size of 7.6 millions
Bemba,http://purl.obolibrary.org/obo/AfPO_0000132,AfPO:0000132,AfPO,A Bantu Southern population with a population size of 5 millions
Kamba,http://purl.obolibrary.org/obo/AfPO_0000134,AfPO:0000134,AfPO,A Bantu Eastern population with a population size of 4.663 millions
Rendille,http://purl.obolibrary.org/obo/AfPO_0000135,AfPO:0000135,AfPO,
Ga-Adangbe,http://purl.obolibrary.org/obo/AfPO_0000136,AfPO:0000136,AfPO,The Ga-Adangbe are a Western African population with a population size of 2 million.
Bulsa,http://purl.obolibrary.org/obo/AfPO_0000139,AfPO:0000139,AfPO,
Chewa,http://purl.obolibrary.org/obo/AfPO_0000140,AfPO:0000140,AfPO,A Bantu Eastern population with a population size of 9 millions
Soninke,http://purl.obolibrary.org/obo/AfPO_0000141,AfPO:0000141,AfPO,The Soninke are a Mande Western population with a population size of 2 million.
Tswana,http://purl.obolibrary.org/obo/AfPO_0000142,AfPO:0000142,AfPO,A Bantu Southern population with a population size of 15 millions
Tuareg,http://purl.obolibrary.org/obo/AfPO_0000145,AfPO:0000145,AfPO,"A Berber Northern, Berber Western population with a population size of 2.5 millions"
Dagomba,http://purl.obolibrary.org/obo/AfPO_0000147,AfPO:0000147,AfPO,A Western African population with a population size of 0.93 millions
Kusasi,http://purl.obolibrary.org/obo/AfPO_0000148,AfPO:0000148,AfPO,
Frafra,http://purl.obolibrary.org/obo/AfPO_0000149,AfPO:0000149,AfPO,A Gurunsi population with a population size of 0.3 millions
Gurunsi,http://purl.obolibrary.org/obo/AfPO_0000150,AfPO:0000150,AfPO,A Gurma population with a population size of 0.8 millions
Gurma,http://purl.obolibrary.org/obo/AfPO_0000151,AfPO:0000151,AfPO,A Western African population with a population size of 3.3 millions
Dagaaba,http://purl.obolibrary.org/obo/AfPO_0000153,AfPO:0000153,AfPO,The Dagaaba are a Western African population with a population size of 1 million.
Dyula,http://purl.obolibrary.org/obo/AfPO_0000161,AfPO:0000161,AfPO,A Mande Western population with a population size of 6.8 millions
Bihari Mauritian,http://purl.obolibrary.org/obo/AfPO_0000168,AfPO:0000168,AfPO,A Eastern African population with a population size of 1.2 millions
Mauritian Creole,http://purl.obolibrary.org/obo/AfPO_0000170,AfPO:0000170,AfPO,
Tamil,http://purl.obolibrary.org/obo/AfPO_0000171,AfPO:0000171,AfPO,A Eastern African population with a population size of 0.055 millions
Nankani,http://purl.obolibrary.org/obo/AfPO_0000179,AfPO:0000179,AfPO,
Seychellois,http://purl.obolibrary.org/obo/AfPO_0000180,AfPO:0000180,AfPO,
Khoisan Eastern,http://purl.obolibrary.org/obo/AfPO_0000183,AfPO:0000183,AfPO,A Eastern African population with a population size of 0.4 million
Semitic Eastern,http://purl.obolibrary.org/obo/AfPO_0000184,AfPO:0000184,AfPO,
Semite Northern,http://purl.obolibrary.org/obo/AfPO_0000185,AfPO:0000185,AfPO,
Semite Central,http://purl.obolibrary.org/obo/AfPO_0000186,AfPO:0000186,AfPO,
Pygmy Eastern,http://purl.obolibrary.org/obo/AfPO_0000187,AfPO:0000187,AfPO,
Eastern African,http://purl.obolibrary.org/obo/AfPO_0000188,AfPO:0000188,AfPO,People living in: Burundi OR Comoros OR Djibouti OR Eritrea OR Ethiopia OR Kenya OR Madagascar OR Malawi OR Mauritius OR Mayotte OR Mozambique OR Rwanda OR Réunion OR Seychelles OR Somalia OR South Sudan OR Sudan OR Uganda OR United Republic of Tanzania OR Zimbabwe
Berber Western,http://purl.obolibrary.org/obo/AfPO_0000189,AfPO:0000189,AfPO,
Nubian Eastern,http://purl.obolibrary.org/obo/AfPO_0000190,AfPO:0000190,AfPO,"The Nubians are known as people of the Nile and are located between Egypt and northern Sudan.' taken from: Culture and Customs of Sudan. Written by De Kwame Essien, Toyin Falola Ph.D."
Mattokki,http://purl.obolibrary.org/obo/AfPO_0000191,AfPO:0000191,AfPO,A Nubian Northern population with a population size of 0.050 million
Banda,http://purl.obolibrary.org/obo/AfPO_0000194,AfPO:0000194,AfPO,A Ubangi Central population with a population size of 1.5 millions
Mahas,http://purl.obolibrary.org/obo/AfPO_0000195,AfPO:0000195,AfPO,
Luo,http://purl.obolibrary.org/obo/AfPO_0000198,AfPO:0000198,AfPO,"A Nilotic Eastern population with a population size of Nilo-Saharan, Luo, River-Lake"
Kalenjin,http://purl.obolibrary.org/obo/AfPO_0000199,AfPO:0000199,AfPO,The Kalenjin are a Nilotic Eastern population with a population size of 3 million.
Pygmy Southern,http://purl.obolibrary.org/obo/AfPO_0000200,AfPO:0000200,AfPO,
Senufo,http://purl.obolibrary.org/obo/AfPO_0000201,AfPO:0000201,AfPO,The Senufo are a Western African population with a population size of 2 million.
Akan,http://purl.obolibrary.org/obo/AfPO_0000203,AfPO:0000203,AfPO,A Western African population with a population size of 20 millions
Daza,http://purl.obolibrary.org/obo/AfPO_0000204,AfPO:0000204,AfPO,A Toubou population with a population size of Nilo-Saharan
Jola,http://purl.obolibrary.org/obo/AfPO_0000205,AfPO:0000205,AfPO,A Western African population with a population size of 0.5 millions
Songhai,http://purl.obolibrary.org/obo/AfPO_0000206,AfPO:0000206,AfPO,A Nilotic Western population with a population size of 5 millions
Banyarwanda,http://purl.obolibrary.org/obo/AfPO_0000207,AfPO:0000207,AfPO,A Bantu Eastern population with a population size of 15.109 millions
Ari,http://purl.obolibrary.org/obo/AfPO_0000209,AfPO:0000209,AfPO,A Eastern African population with a population size of 0.462 million
Gaaliin,http://purl.obolibrary.org/obo/AfPO_0000211,AfPO:0000211,AfPO,A Eastern African population with a population size of 4 millions
Shaigiya,http://purl.obolibrary.org/obo/AfPO_0000212,AfPO:0000212,AfPO,
Messiria,http://purl.obolibrary.org/obo/AfPO_0000213,AfPO:0000213,AfPO,
Hadendoa,http://purl.obolibrary.org/obo/AfPO_0000214,AfPO:0000214,AfPO,
Halfawieen,http://purl.obolibrary.org/obo/AfPO_0000215,AfPO:0000215,AfPO,
Nuba,http://purl.obolibrary.org/obo/AfPO_0000216,AfPO:0000216,AfPO,"The Nuba trace their geographical roots to the area around the Nuba mountains, the uppermost regions around the Ingessana hills and communities close to the Red Sea.' taken from: Culture and Customs of Sudan. Written by De Kwame Essien, Toyin Falola Ph.D."
Sahrawi,http://purl.obolibrary.org/obo/AfPO_0000220,AfPO:0000220,AfPO,A Berber Northern population with a population size of 0.57 million
Jarawa,http://purl.obolibrary.org/obo/AfPO_0000224,AfPO:0000224,AfPO,A Bantu Western population with a population size of 0.250 million
Hadza,http://purl.obolibrary.org/obo/AfPO_0000225,AfPO:0000225,AfPO,A Eastern African population with a population size of 1300 persons
Serer,http://purl.obolibrary.org/obo/AfPO_0000227,AfPO:0000227,AfPO,A Western African population with a population size of 1.9 millions
Manjak,http://purl.obolibrary.org/obo/AfPO_0000228,AfPO:0000228,AfPO,A Western African population with a population size of 0.285 million
Balanta,http://purl.obolibrary.org/obo/AfPO_0000229,AfPO:0000229,AfPO,A Western African population with a population size of 0.324 million
Mozabite,http://purl.obolibrary.org/obo/AfPO_0000231,AfPO:0000231,AfPO,A Berber Northern population with a population size of 0.150 million
Ngoni,http://purl.obolibrary.org/obo/AfPO_0000236,AfPO:0000236,AfPO,"A Bantu Eastern, Bantu Southern population with a population size of 0.758 million"
Lomwe,http://purl.obolibrary.org/obo/AfPO_0000237,AfPO:0000237,AfPO,
Yao,http://purl.obolibrary.org/obo/AfPO_0000238,AfPO:0000238,AfPO,A Bantu Eastern population with a population size of > 2 millions
Mang'anja,http://purl.obolibrary.org/obo/AfPO_0000239,AfPO:0000239,AfPO,"A Chewa population with a population size of 2.486 millions, known as the people of the lake"
Sena,http://purl.obolibrary.org/obo/AfPO_0000240,AfPO:0000240,AfPO,The Sena are a Bantu Eastern population with a population size of 2 million.
Bongo,http://purl.obolibrary.org/obo/AfPO_0000241,AfPO:0000241,AfPO,A Sudanic population with a population size of Nilo-Saharan|Satellite-Core|Satellites|Central Sudanic|West|Bongo-Bagirmi|Bongo-Baka|Bongo|Kacipo-Balesi|Tennet|Luo|Lango-Acholi
Chipeta,http://purl.obolibrary.org/obo/AfPO_0000242,AfPO:0000242,AfPO,
Nyakyusa,http://purl.obolibrary.org/obo/AfPO_0000243,AfPO:0000243,AfPO,A Bantu Eastern population with a population size of 1.050 millions
Burunge,http://purl.obolibrary.org/obo/AfPO_0000244,AfPO:0000244,AfPO,A Cushitic Eastern population with a population size of 0.030 million
Antankarana,http://purl.obolibrary.org/obo/AfPO_0000245,AfPO:0000245,AfPO,A Malagasy population with a population size of 0.05 million
Tsimihety,http://purl.obolibrary.org/obo/AfPO_0000247,AfPO:0000247,AfPO,The Tsimihety are a Malagasy population with a population size of 1.2 million.
Sakalava,http://purl.obolibrary.org/obo/AfPO_0000248,AfPO:0000248,AfPO,The Sakalava are a Malagasy population with a population size of 1.2 million.
Betsimisaraka,http://purl.obolibrary.org/obo/AfPO_0000249,AfPO:0000249,AfPO,A Malagasy population with a population size of 1.5 millions
Antemoro,http://purl.obolibrary.org/obo/AfPO_0000250,AfPO:0000250,AfPO,A Malagasy population with a population size of 0.5 million
Betsileo,http://purl.obolibrary.org/obo/AfPO_0000251,AfPO:0000251,AfPO,A Malagasy population with a population size of 4.359 millions
Zafimaniry,http://purl.obolibrary.org/obo/AfPO_0000252,AfPO:0000252,AfPO,A Betsileo population with a population size of 0.015 million
Merina,http://purl.obolibrary.org/obo/AfPO_0000253,AfPO:0000253,AfPO,A Malagasy population with a population size of > 5 millions
Bara,http://purl.obolibrary.org/obo/AfPO_0000254,AfPO:0000254,AfPO,A Malagasy population with a population size of 0.52 million
Vezo,http://purl.obolibrary.org/obo/AfPO_0000255,AfPO:0000255,AfPO,A Malagasy population with a population size of 0.0012 million
Antandroy,http://purl.obolibrary.org/obo/AfPO_0000256,AfPO:0000256,AfPO,A Malagasy population with a population size of 0.6 million
Mahafaly,http://purl.obolibrary.org/obo/AfPO_0000257,AfPO:0000257,AfPO,A Malagasy population with a population size of 0.15 million
Cafre,http://purl.obolibrary.org/obo/AfPO_0000258,AfPO:0000258,AfPO,
Malbar,http://purl.obolibrary.org/obo/AfPO_0000259,AfPO:0000259,AfPO,A Eastern African population with a population size of 0.18 million
Zarabe,http://purl.obolibrary.org/obo/AfPO_0000260,AfPO:0000260,AfPO,
Zoreille,http://purl.obolibrary.org/obo/AfPO_0000261,AfPO:0000261,AfPO,French people who were born in Metropolitan France.
Sinwa,http://purl.obolibrary.org/obo/AfPO_0000262,AfPO:0000262,AfPO,A Eastern African population with a population size of 0.025 million
!Kung,http://purl.obolibrary.org/obo/AfPO_0000263,AfPO:0000263,AfPO,
Ubangi Central,http://purl.obolibrary.org/obo/AfPO_0000264,AfPO:0000264,AfPO,
Nilotic Central,http://purl.obolibrary.org/obo/AfPO_0000265,AfPO:0000265,AfPO,
Bangba,http://purl.obolibrary.org/obo/AfPO_0000266,AfPO:0000266,AfPO,A Ubangi Central population with a population size of 0.011 million
Mayogo,http://purl.obolibrary.org/obo/AfPO_0000268,AfPO:0000268,AfPO,
Cushitic Eastern,http://purl.obolibrary.org/obo/AfPO_0000269,AfPO:0000269,AfPO,
Nilotic Western,http://purl.obolibrary.org/obo/AfPO_0000270,AfPO:0000270,AfPO,
Sudanic,http://purl.obolibrary.org/obo/AfPO_0000271,AfPO:0000271,AfPO,
Bantu Central,http://purl.obolibrary.org/obo/AfPO_0000273,AfPO:0000273,AfPO,
Central African,http://purl.obolibrary.org/obo/AfPO_0000274,AfPO:0000274,AfPO,People living in: Angola OR Cameroon OR Central African Republic OR Chad OR Congo OR Democratic Republic of the Congo OR Gabon OR Zambia
Northern African,http://purl.obolibrary.org/obo/AfPO_0000275,AfPO:0000275,AfPO,People living in: Algeria OR Egypt OR Libya OR Mauritania OR Morocco OR Tunisia OR Western Sahara
Southern African,http://purl.obolibrary.org/obo/AfPO_0000276,AfPO:0000276,AfPO,People living in: Botswana OR Eswatini OR Lesotho OR Namibia OR South Africa
Western African,http://purl.obolibrary.org/obo/AfPO_0000277,AfPO:0000277,AfPO,People living in: Benin OR Burkina Faso OR Cabo Verde OR Cote d'Ivoire OR Equatorial Guinea OR Gambia OR Ghana OR Guinea OR Guinea-Bissau OR Liberia OR Mali OR Niger OR Nigeria OR Saint Helena OR Sao Tome and Principe OR Senegal OR Sierra Leone OR Togo
Kanuri,http://purl.obolibrary.org/obo/AfPO_0000278,AfPO:0000278,AfPO,"A Nilotic Central, Nilotic Western population with a population size of >10 millions"
Kotoko,http://purl.obolibrary.org/obo/AfPO_0000279,AfPO:0000279,AfPO,A Central African population with a population size of < 1 million
Masa,http://purl.obolibrary.org/obo/AfPO_0000280,AfPO:0000280,AfPO,A Central African population with a population size of 0.45 millions
Pygmy Central,http://purl.obolibrary.org/obo/AfPO_0000281,AfPO:0000281,AfPO,
Aka,http://purl.obolibrary.org/obo/AfPO_0000282,AfPO:0000282,AfPO,
Baka_Cameroon,http://purl.obolibrary.org/obo/AfPO_0000283,AfPO:0000283,AfPO,A Pygmy Central population with a population size of 0.03 milion
Mbuti,http://purl.obolibrary.org/obo/AfPO_0000284,AfPO:0000284,AfPO,A Pygmy Central population with a population size of 0.01 milion
Efé,http://purl.obolibrary.org/obo/AfPO_0000285,AfPO:0000285,AfPO,A Pygmy Central population with a population size of 0.07 million
Sua,http://purl.obolibrary.org/obo/AfPO_0000286,AfPO:0000286,AfPO,
Twa,http://purl.obolibrary.org/obo/AfPO_0000287,AfPO:0000287,AfPO,"A Pygmy Eastern, Pygmy Southern, Banyarwanda, Pygmy Central population with a population size of 0.04 million"
Kwatay,http://purl.obolibrary.org/obo/AfPO_0000288,AfPO:0000288,AfPO,
Kanembu,http://purl.obolibrary.org/obo/AfPO_0000289,AfPO:0000289,AfPO,A Kanuri population with a population size of 0.655 millions
Beti-Pahuin,http://purl.obolibrary.org/obo/AfPO_0000290,AfPO:0000290,AfPO,"A Bantu Western, Bantu Central population with a population size of 3.3 millions with a group of 20 sub-ethnicities"
Chokwe,http://purl.obolibrary.org/obo/AfPO_0000291,AfPO:0000291,AfPO,A Bantu Central population with a population size of 1.1 million
Kongo,http://purl.obolibrary.org/obo/AfPO_0000292,AfPO:0000292,AfPO,A Bantu Central population with a population size of 17 millions
Luba,http://purl.obolibrary.org/obo/AfPO_0000293,AfPO:0000293,AfPO,The Luba are a Bantu Central population with a population size of >15 million.
Mbundu,http://purl.obolibrary.org/obo/AfPO_0000294,AfPO:0000294,AfPO,A Bantu Central population with a population size of 6.4 millions
Moghamo,http://purl.obolibrary.org/obo/AfPO_0000295,AfPO:0000295,AfPO,A Bantu Central population with a population size of 0.018 million
Mongo,http://purl.obolibrary.org/obo/AfPO_0000296,AfPO:0000296,AfPO,The Mongo are a Bantu Central population with a population size of >15 million.
Ngala,http://purl.obolibrary.org/obo/AfPO_0000297,AfPO:0000297,AfPO,A Bantu Central population with a population size of 25 millions
Ngamambo,http://purl.obolibrary.org/obo/AfPO_0000298,AfPO:0000298,AfPO,A Bantu Central population with a population size of 0.08 million
Tikar,http://purl.obolibrary.org/obo/AfPO_0000299,AfPO:0000299,AfPO,A Bantu Central population with a population size of 0.025 million
Ovimbundu,http://purl.obolibrary.org/obo/AfPO_0000300,AfPO:0000300,AfPO,A Bantu Central population with a population size of 4.6 milions
Mbunda,http://purl.obolibrary.org/obo/AfPO_0000301,AfPO:0000301,AfPO,A Kongo population with a population size of 0.5 million
Gbaya,http://purl.obolibrary.org/obo/AfPO_0000302,AfPO:0000302,AfPO,A Ubangi Central population with a population size of 1.5 million
Ngbandi,http://purl.obolibrary.org/obo/AfPO_0000303,AfPO:0000303,AfPO,A Ubangi Central population with a population size of 0.122 million
Zande,http://purl.obolibrary.org/obo/AfPO_0000304,AfPO:0000304,AfPO,"A Ubangi Central, Eastern African population with a population size of 1-4 millions"
Baggara,http://purl.obolibrary.org/obo/AfPO_0000305,AfPO:0000305,AfPO,"A Semite Central, Semitic Eastern population with a population size of 6 million"
Sara,http://purl.obolibrary.org/obo/AfPO_0000306,AfPO:0000306,AfPO,"A Western African, Nilotic Central population with a population size of 3.5 millions"
Toubou,http://purl.obolibrary.org/obo/AfPO_0000307,AfPO:0000307,AfPO,"A Nilotic Eastern, Nilotic Western, Northern African, Nilotic Central population with a population size of 2.25 millions"
Afrikaner,http://purl.obolibrary.org/obo/AfPO_0000325,AfPO:0000325,AfPO,A Southern African population with a population size of 2.8–3.5 million
Bantu Southern,http://purl.obolibrary.org/obo/AfPO_0000326,AfPO:0000326,AfPO,
British diaspora,http://purl.obolibrary.org/obo/AfPO_0000327,AfPO:0000327,AfPO,"A Southern African, Eastern African population with a population size of 2.5 millions"
Coloured,http://purl.obolibrary.org/obo/AfPO_0000328,AfPO:0000328,AfPO,A Southern African population with a population size of 4.7 millions
Goffel,http://purl.obolibrary.org/obo/AfPO_0000329,AfPO:0000329,AfPO,A Southern African population with a population size of 0.03 millions. People of mixed race claiming both European and African descent.
French diaspora,http://purl.obolibrary.org/obo/AfPO_0000330,AfPO:0000330,AfPO,
Khoekhoe,http://purl.obolibrary.org/obo/AfPO_0000331,AfPO:0000331,AfPO,
San,http://purl.obolibrary.org/obo/AfPO_0000332,AfPO:0000332,AfPO,A Southern African population with a population size of 0.1 million
Khoisan South,http://purl.obolibrary.org/obo/AfPO_0000333,AfPO:0000333,AfPO,"A Khoekhoe, San population with a population size of 0.4 millions"
Taa,http://purl.obolibrary.org/obo/AfPO_0000334,AfPO:0000334,AfPO,
Banareng,http://purl.obolibrary.org/obo/AfPO_0000335,AfPO:0000335,AfPO,People of the place of the buffalo
Himba,http://purl.obolibrary.org/obo/AfPO_0000336,AfPO:0000336,AfPO,The Himba are a Bantu Southern population with a population size of 0.05 million.
Kwangali,http://purl.obolibrary.org/obo/AfPO_0000337,AfPO:0000337,AfPO,
Lemba,http://purl.obolibrary.org/obo/AfPO_0000338,AfPO:0000338,AfPO,The Lemba are a Bantu Southern population with a population size of 0.05 million
Makua,http://purl.obolibrary.org/obo/AfPO_0000339,AfPO:0000339,AfPO,A Bantu Southern population with a population size of 4.037 Millions
Nguni,http://purl.obolibrary.org/obo/AfPO_0000340,AfPO:0000340,AfPO,A Bantu Southern population with a population size of > 28 millions
Ovambo,http://purl.obolibrary.org/obo/AfPO_0000341,AfPO:0000341,AfPO,A Bantu Southern population with a population size of 1.6 million
Shona,http://purl.obolibrary.org/obo/AfPO_0000342,AfPO:0000342,AfPO,"A Bantu Southern, Bantu Eastern population with a population size of 10.6 millions"
Sotho,http://purl.obolibrary.org/obo/AfPO_0000343,AfPO:0000343,AfPO,A Bantu Southern population with a population size of 7.130 millions
Tonga,http://purl.obolibrary.org/obo/AfPO_0000344,AfPO:0000344,AfPO,"A Bantu Southern, Bantu Eastern population with a population size of 2 millions"
Venda,http://purl.obolibrary.org/obo/AfPO_0000345,AfPO:0000345,AfPO,A Bantu Southern population with a population size of 1 million
Yeyi,http://purl.obolibrary.org/obo/AfPO_0000346,AfPO:0000346,AfPO,A Bantu Southern population with a population size of 0.3 million
Pedi,http://purl.obolibrary.org/obo/AfPO_0000347,AfPO:0000347,AfPO,A Sotho population with a population size of 4.7 millions
Kalanga,http://purl.obolibrary.org/obo/AfPO_0000348,AfPO:0000348,AfPO,A Shona population with a population size of 0.75 million
Nambya,http://purl.obolibrary.org/obo/AfPO_0000349,AfPO:0000349,AfPO,A Shona population with a population size of 0.1 million
Ndebele,http://purl.obolibrary.org/obo/AfPO_0000350,AfPO:0000350,AfPO,
Swazi,http://purl.obolibrary.org/obo/AfPO_0000351,AfPO:0000351,AfPO,A Nguni population with a population size of 2.3 millions
North Ndebele,http://purl.obolibrary.org/obo/AfPO_0000352,AfPO:0000352,AfPO,A Ndebele population with a population size of 1.5 million
South Ndebele,http://purl.obolibrary.org/obo/AfPO_0000353,AfPO:0000353,AfPO,A Ndebele population with a population size of 0.7 million
Kgatla,http://purl.obolibrary.org/obo/AfPO_0000354,AfPO:0000354,AfPO,
Andalusian,http://purl.obolibrary.org/obo/AfPO_0000355,AfPO:0000355,AfPO,Descendants of Andalusians people
Berber Northern,http://purl.obolibrary.org/obo/AfPO_0000356,AfPO:0000356,AfPO,A Northern African population with a population size of 38 millions
Copt,http://purl.obolibrary.org/obo/AfPO_0000357,AfPO:0000357,AfPO,"A Eastern African, Northern African population with a population size of 20 millions"
Nubian Northern,http://purl.obolibrary.org/obo/AfPO_0000358,AfPO:0000358,AfPO,A Northern African population with a population size of 1.7 million
Algerian Berber,http://purl.obolibrary.org/obo/AfPO_0000359,AfPO:0000359,AfPO,
Lybian Berber,http://purl.obolibrary.org/obo/AfPO_0000360,AfPO:0000360,AfPO,
Moroccan Berber,http://purl.obolibrary.org/obo/AfPO_0000361,AfPO:0000361,AfPO,
Shilha,http://purl.obolibrary.org/obo/AfPO_0000362,AfPO:0000362,AfPO,A Berber Northern population with a population size of Afro-Asiatic|Berber|Northern|Atlas
Tunisian Andalusian,http://purl.obolibrary.org/obo/AfPO_0000363,AfPO:0000363,AfPO,
Tunisian Berber,http://purl.obolibrary.org/obo/AfPO_0000364,AfPO:0000364,AfPO,
Egyptian,http://purl.obolibrary.org/obo/AfPO_0000365,AfPO:0000365,AfPO,A Semite Northern population with a population size of 85 millions
Haratin,http://purl.obolibrary.org/obo/AfPO_0000366,AfPO:0000366,AfPO,A Semite Northern population with a population size of 2 millions
Maghrebi,http://purl.obolibrary.org/obo/AfPO_0000367,AfPO:0000367,AfPO,A Semite Northern population with a population size of >72 millions
Gumuz,http://purl.obolibrary.org/obo/AfPO_00003674,AfPO:00003674,AfPO,A Nilotic Eastern population with a population size of 0.2 million
Moor,http://purl.obolibrary.org/obo/AfPO_0000368,AfPO:0000368,AfPO,"A Semite Northern, Semitic Eastern population with a population size of 2 millions"
Bantu Eastern,http://purl.obolibrary.org/obo/AfPO_0000369,AfPO:0000369,AfPO,
Malagasy,http://purl.obolibrary.org/obo/AfPO_0000370,AfPO:0000370,AfPO,A Eastern African population with a population size of 25 millions
Nilotic Eastern,http://purl.obolibrary.org/obo/AfPO_0000371,AfPO:0000371,AfPO,A Eastern African population with a population size of >22 millions
Wolaita,http://purl.obolibrary.org/obo/AfPO_0000372,AfPO:0000372,AfPO,A Eastern African population with a population size of 2 millions
Bari,http://purl.obolibrary.org/obo/AfPO_0000373,AfPO:0000373,AfPO,A Nilotic Eastern population with a population size of 0.475 millon
Acholi,http://purl.obolibrary.org/obo/AfPO_0000374,AfPO:0000374,AfPO,A Luo population with a population size of 2 Millions
Kwama,http://purl.obolibrary.org/obo/AfPO_0000375,AfPO:0000375,AfPO,
Turkana,http://purl.obolibrary.org/obo/AfPO_0000376,AfPO:0000376,AfPO,"A Nilotic Eastern population with a population size of 1,016 millions"
Alur,http://purl.obolibrary.org/obo/AfPO_0000377,AfPO:0000377,AfPO,A Luo population with a population size of 1.7 million
Lango,http://purl.obolibrary.org/obo/AfPO_0000378,AfPO:0000378,AfPO,A Luo population with a population size of 2.2 millions
Shilluk,http://purl.obolibrary.org/obo/AfPO_0000379,AfPO:0000379,AfPO,A Luo population with a population size of 1.5 million
