tableName,tableType,tableExtends,columnName,columnType,key,required,refSchema,refTable,refBack,visible,semantics,label,description
biospecimens,,,paxgene_barcode,string,,TRUE,,,,paxgene_rna_collected ,http://purl.obolibrary.org/obo/FLU_0001019,Enter barcode of the PAXgene-RNA tube,Click or tap the field below to enter a new barcode. Use your barcode scanner to enter the code or you may manually type it in.
biospecimens,,,paxgene_rna_storage_room,ontology,,,,storage,,paxgene_rna_collected ,http://purl.obolibrary.org/obo/NCIT_C70719,Storage at room temperature,
biospecimens,,,paxgene_rna_storage_room_other,int,,,,,,"paxgene_rna_collected  && paxgene_rna_storage_room?.name===""other""",http://purl.obolibrary.org/obo/NCIT_C70719,Other room temperature storage,Enter number of hours stored at room temperature
biospecimens,,,paxgene_rna_storage_freezer,ontology,,,,storage,,paxgene_rna_collected ,http://snomed.info/id/69997009,Freezer storage,
biospecimens,,,paxgene_rna_deviation_remark,text,,,,,,paxgene_rna_collected ,http://purl.allotrope.org/ontologies/result#AFR_0002017,Remark in case of deviation,
biospecimens,,,paxgene_rna_reason_not_collected,text,,,,,,!paxgene_rna_collected,http://purl.obolibrary.org/obo/OBI_0002199,"If no biospecimen, please state the reason.",
biospecimens,,,edta_blood,heading,,,,,,,http://purl.obolibrary.org/obo/NCIT_C158462,EDTA-Blood/DNA,
biospecimens,,,edta_blood_collected,bool,,,,,,edta_blood_collected ,http://purl.obolibrary.org/obo/NCIT_C170548,EDTA-Blood/DNA collected,Indication if the specimen was collected.
biospecimens,,,edta_blood_barcode,string,,TRUE,,,,edta_blood_collected ,http://purl.obolibrary.org/obo/FLU_0001019,Enter the barcode,Click or tap the field below to enter a new barcode. Use your barcode scanner to enter the code or you may manually type it in.
biospecimens,,,edta_blood_storage,ontology,,,,storage,,edta_blood_collected ,http://purl.obolibrary.org/obo/NCIT_C96145,Storage,
biospecimens,,,edta_blood_deviation_remark,text,,,,,,edta_blood_collected ,http://purl.allotrope.org/ontologies/result#AFR_0002017,Remark in case of deviation,
biospecimens,,,edta_blook_reason_not_collected,text,,,,,,!edta_blood_collected,http://purl.obolibrary.org/obo/OBI_0002199,"If no biospecimen, please state the reason.",
biospecimens,,,urine,heading,,,,,,,http://purl.obolibrary.org/obo/NCIT_C189126,Urine,
biospecimens,,,urine_collected,bool,,,,,,,http://purl.obolibrary.org/obo/NCIT_C170548,Urine collected,Indication if the specimen was collected.
biospecimens,,,urine_barcode,string,,TRUE,,,,urine_collected ,http://purl.obolibrary.org/obo/FLU_0001019,Enter the barcode,Click or tap the field below to enter a new barcode. Use your barcode scanner to enter the code or you may manually type it in.
biospecimens,,,urine_centrifuge,ontology,,,,centrifugation,,urine_collected ,http://purl.obolibrary.org/obo/MSIO_0000146,Centrifugation,
biospecimens,,,urine_centrifuge_other_g,int,,,,,,"urine_collected  && urine_centrifuge?.name===""other""",http://snomed.info/id/285649006,Force,
biospecimens,,,urine_centrifuge_other_temp,int,,,,,,"urine_collected  && urine_centrifuge?.name===""other""",http://purl.obolibrary.org/obo/NCIT_C25206,Centrifuge temperature,
biospecimens,,,urine_centrifuge_other_min,int,,,,,,"urine_collected  && urine_centrifuge?.name===""other""",http://purl.obolibrary.org/obo/NCIT_C178881,Minutes,
biospecimens,,,urine_aliquots,ontology,,,,aliquots,,urine_collected ,http://semanticscience.org/resource/SIO_010425,Supernatant aliquots,Select a value or enter a specific value
biospecimens,,,urine_aliquots_other,int,,,,,,"urine_collected  && urine_aliquots?.name===""other""",http://semanticscience.org/resource/SIO_010425,Enter a number of aliquots,
biospecimens,,,urine_deviation_remark,text,,,,,,urine_collected ,http://purl.allotrope.org/ontologies/result#AFR_0002017,Remark in case of deviation,
biospecimens,,,urine_reason_not_collected,text,,,,,,!urine_collected,http://purl.obolibrary.org/obo/OBI_0002199,"If no biospecimen, please state the reason.",
aliquots,ONTOLOGIES,,,,,,,,,,http://semanticscience.org/resource/SIO_010425,Supernatant aliquots,
aliquots,ONTOLOGIES,,project_specimen,ontology,,,,specimens,,,http://purl.obolibrary.org/obo/NCIT_C70713,,
assignedGenderAtBirth,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/GSSO_009418,Assigned gender at birth,
centrifugation,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/MSIO_0000146,Centrifugation,"centrifugation is a material component separation process which relies on centrifugational forces applied by means of high velocity rotation to a sample placed in a vial or tube in a rotor, fixed to an centrifugation instrument."
centrifugation,ONTOLOGIES,,project_specimen,ontology,,,,specimens,,,http://purl.obolibrary.org/obo/MSIO_0000146,,
persons,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C25190,Persons,List of all known individuals
specimens,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C70713,Recon4imd Biospecimen Types,Specimen types collected and submitted to IMDhub
statuses,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C27993,Statuses,A term that helps define and render another concept unique.
storage,ONTOLOGIES,,,,,,,,,,http://purl.obolibrary.org/obo/NCIT_C96145,,
storage,ONTOLOGIES,,project_specimen,ontology_array,,,,specimens,,,http://purl.obolibrary.org/obo/NCIT_C70713,,
storage,ONTOLOGIES,,project_storage_type,string,,,,,,,http://purl.obolibrary.org/obo/NCIT_C96145,,
